Data,mls_Zamkniecie,snx_Zamkniecie,grn_Zamkniecie,clc_Zamkniecie,pen_Zamkniecie,nvv_Zamkniecie,01c_Zamkniecie,sum,ieo_pv
2019-01-02,155.3784,9.090085,13.88256,31.37,113.4,10.36,5.56,339.041045,2450.79
2019-01-03,158.20144,8.92987,14.035029999999999,31.575,113.4,10.53,5.38,342.05134,2472.55
2019-01-07,158.20144,9.514785,14.459929999999998,30.765,111.0,10.61,4.85,339.401155,2453.39
2019-01-15,159.89526999999998,10.9552,14.88256,31.98,112.8,9.52,4.85,344.88302999999996,2493.02
2019-01-16,163.84753,13.109725,14.84249,36.43,111.6,9.1,4.31,353.239745,2553.42
2019-01-17,159.33066000000002,12.58025,15.30494,39.47,128.4,8.84,4.31,368.23585,2661.82
2019-01-18,160.86317,12.33509,16.03503,38.455,129.0,10.53,4.37,371.58829,2686.06
2019-01-22,159.33066000000002,11.849865,18.64995,37.24,121.8,10.19,4.37,363.430475,2627.09
2019-01-23,158.20144,11.36464,20.76512,39.875,120.0,10.95,4.37,365.52619999999996,2642.24
2019-01-25,158.20144,11.24003,22.6124,39.47,117.6,10.86,4.37,364.35387000000003,2633.76
2019-01-28,158.20144,11.404825,22.99496,40.275,117.0,10.7,4.85,365.426225,2641.52
2019-01-29,153.68457,12.29491,23.30242,37.85,117.0,10.78,6.28,361.1918999999999,2610.91
2019-01-30,153.62407,11.93023,22.14995,37.85,111.0,10.53,7.66,354.74424999999997,2564.3
2019-01-31,161.03457,12.01517,21.22757,47.36,114.0,10.02,7.78,373.43730999999997,2699.42
2019-02-04,158.20144,11.56504,21.92011,45.74,114.0,10.36,7.18,368.96659000000005,2667.11
2019-02-05,155.94299999999998,11.93023,22.22757,44.935,111.0,9.6,7.18,362.8158,2622.65
2019-02-06,158.20144,11.69016,21.92011,44.73,111.0,9.6,6.7,363.84171,2630.06
2019-02-07,155.3784,11.770014999999999,20.99496,41.49,111.0,11.03,6.7,358.36337499999996,2590.46
2019-02-08,155.3784,11.36464,21.07258,42.1,109.8,11.2,6.34,357.25561999999996,2582.45
2019-02-12,156.27572,11.56504,21.14995,41.29,121.2,11.2,5.86,368.54071,2664.03
2019-02-21,150.86151999999998,10.91502,18.22757,43.315,120.0,10.02,5.8,359.13910999999996,2596.07
2019-02-22,150.01461,10.34994,19.03503,43.315,115.2,10.11,6.1,354.12458000000004,2559.82
2019-02-25,149.7323,9.579889999999999,19.22757,42.705,118.8,9.69,6.1,355.83476,2572.18
2019-03-01,152.54527,11.32497,19.6124,36.635,111.6,9.43,5.98,347.12764,2509.24
2019-03-06,150.39774,10.9552,19.53503,34.105,111.0,10.44,5.92,342.35297,2474.73
2019-03-08,147.01008000000002,10.63528,19.03503,36.025,111.0,10.27,5.52,339.49539,2454.07
2019-03-11,146.95967,10.590010000000001,18.45741,37.85,114.0,10.27,5.44,343.56708999999995,2483.5
2019-03-12,152.49486000000002,10.67495,17.69002,37.545,111.0,10.44,5.15,344.99483,2493.83
2019-03-15,151.86975,10.144969999999999,17.95741,38.05,124.8,10.44,5.62,358.88213,2594.21
2019-03-18,146.89918,10.104785000000001,18.45741,38.05,121.8,10.19,5.56,351.061375,2537.68
